All Method Calls (14894)

<net.sourceforge.pmd.RuleReference; isSame[java.lang.String, java.lang.String]; boolean; net.sourceforge.pmd.RuleReference; setName[java.lang.String]; void; null; this>
<net.sourceforge.pmd.ast.SimpleNode; dumpChildren[java.lang.String]; void; net.sourceforge.pmd.ast.ASTClassOrInterfaceBodyDeclaration; dump[java.lang.String]; void; null; this>
<net.sourceforge.pmd.ast.JavaParserVisitor; visit[net.sourceforge.pmd.ast.ASTReferenceType, java.lang.Object]; java.lang.Object; net.sourceforge.pmd.ast.ASTReferenceType; jjtAccept[net.sourceforge.pmd.ast.JavaParserVisitor, java.lang.Object]; java.lang.Object; null; visitor>
<net.sourceforge.pmd.ast.JavaParserVisitor; visit[net.sourceforge.pmd.ast.ASTMemberValuePairs, java.lang.Object]; java.lang.Object; net.sourceforge.pmd.ast.ASTMemberValuePairs; jjtAccept[net.sourceforge.pmd.ast.JavaParserVisitor, java.lang.Object]; java.lang.Object; visit[net.sourceforge.pmd.ast.ASTReferenceType, java.lang.Object]; visitor>
<net.sourceforge.pmd.ast.SimpleNode; getImage[]; java.lang.String; net.sourceforge.pmd.ast.ASTPrimaryPrefix; getLabel[]; java.lang.String; null; this>
<net.sourceforge.pmd.ast.SimpleNode; getImage[]; java.lang.String; net.sourceforge.pmd.ast.ASTPrimaryPrefix; getLabel[]; java.lang.String; null; this>
<net.sourceforge.pmd.ast.SimpleNode; getImage[]; java.lang.String; net.sourceforge.pmd.ast.ASTPrimaryPrefix; dump[java.lang.String]; void; null; this>
<net.sourceforge.pmd.ast.SimpleNode; getImage[]; java.lang.String; net.sourceforge.pmd.ast.ASTPrimaryPrefix; dump[java.lang.String]; void; null; this>
<java.io.PrintStream; println[java.lang.String]; void; net.sourceforge.pmd.ast.ASTPrimaryPrefix; dump[java.lang.String]; void; null; System.out>
<net.sourceforge.pmd.ast.SimpleNode; toString[java.lang.String]; java.lang.String; net.sourceforge.pmd.ast.ASTPrimaryPrefix; dump[java.lang.String]; void; null; this>
<java.io.PrintStream; println[java.lang.String]; void; net.sourceforge.pmd.ast.ASTPrimaryPrefix; dump[java.lang.String]; void; null; System.out>
<net.sourceforge.pmd.ast.SimpleNode; toString[java.lang.String]; java.lang.String; net.sourceforge.pmd.ast.ASTPrimaryPrefix; dump[java.lang.String]; void; null; this>
<net.sourceforge.pmd.ast.SimpleNode; dumpChildren[java.lang.String]; void; net.sourceforge.pmd.ast.ASTPrimaryPrefix; dump[java.lang.String]; void; null; this>
<net.sourceforge.pmd.ast.JavaParserVisitor; visit[net.sourceforge.pmd.ast.ASTPrimaryPrefix, java.lang.Object]; java.lang.Object; net.sourceforge.pmd.ast.ASTPrimaryPrefix; jjtAccept[net.sourceforge.pmd.ast.JavaParserVisitor, java.lang.Object]; java.lang.Object; null; visitor>
<net.sourceforge.pmd.AbstractRuleChainVisitor; indexNode[net.sourceforge.pmd.ast.SimpleNode]; void; net.sourceforge.pmd.ast.JavaParserVisitorAdapter; visit[net.sourceforge.pmd.ast.SimpleJavaNode, java.lang.Object]; java.lang.Object; null; this>
<java.util.List; size[]; int; net.sourceforge.pmd.ast.JavaRuleChainVisitor; indexNodes[java.util.List<net.sourceforge.pmd.ast.CompilationUnit>, net.sourceforge.pmd.RuleContext]; void; null; astCompilationUnits>
<net.sourceforge.pmd.ast.JavaParserVisitor; visit[net.sourceforge.pmd.ast.ASTCompilationUnit, java.lang.Object]; java.lang.Object; net.sourceforge.pmd.ast.JavaRuleChainVisitor; indexNodes[java.util.List<net.sourceforge.pmd.ast.CompilationUnit>, net.sourceforge.pmd.RuleContext]; void; null; javaParserVistor>
<java.util.List; get[int]; net.sourceforge.pmd.ast.CompilationUnit; net.sourceforge.pmd.ast.JavaRuleChainVisitor; indexNodes[java.util.List<net.sourceforge.pmd.ast.CompilationUnit>, net.sourceforge.pmd.RuleContext]; void; null; astCompilationUnits>
<net.sourceforge.pmd.rules.XPathRule; evaluate[net.sourceforge.pmd.ast.Node, net.sourceforge.pmd.RuleContext]; void; net.sourceforge.pmd.ast.JavaRuleChainVisitor; visit[net.sourceforge.pmd.Rule, net.sourceforge.pmd.ast.SimpleNode, net.sourceforge.pmd.RuleContext]; void; null; ((XPathRule)rule)>
<net.sourceforge.pmd.ast.SimpleJavaNode; jjtAccept[net.sourceforge.pmd.ast.JavaParserVisitor, java.lang.Object]; java.lang.Object; net.sourceforge.pmd.ast.JavaRuleChainVisitor; visit[net.sourceforge.pmd.Rule, net.sourceforge.pmd.ast.SimpleNode, net.sourceforge.pmd.RuleContext]; void; null; ((SimpleJavaNode)node)>
<java.util.List; clear[]; void; net.sourceforge.pmd.ast.JJTJavaParserState; reset[]; void; null; nodes>
<java.util.List; clear[]; void; net.sourceforge.pmd.ast.JJTJavaParserState; reset[]; void; null; marks>
<java.util.List; get[int]; net.sourceforge.pmd.ast.Node; net.sourceforge.pmd.ast.JJTJavaParserState; rootNode[]; net.sourceforge.pmd.ast.Node; null; nodes>
<java.util.List; add[net.sourceforge.pmd.ast.Node]; boolean; net.sourceforge.pmd.ast.JJTJavaParserState; pushNode[net.sourceforge.pmd.ast.Node]; void; null; nodes>
<java.util.List; remove[int]; java.lang.Integer; net.sourceforge.pmd.ast.JJTJavaParserState; popNode[]; net.sourceforge.pmd.ast.Node; null; marks>
<java.util.List; size[]; int; net.sourceforge.pmd.ast.JJTJavaParserState; popNode[]; net.sourceforge.pmd.ast.Node; null; marks>
<java.util.List; remove[int]; net.sourceforge.pmd.ast.Node; net.sourceforge.pmd.ast.JJTJavaParserState; popNode[]; net.sourceforge.pmd.ast.Node; null; nodes>
<java.util.List; size[]; int; net.sourceforge.pmd.ast.JJTJavaParserState; popNode[]; net.sourceforge.pmd.ast.Node; null; nodes>
<java.util.List; get[int]; net.sourceforge.pmd.ast.Node; net.sourceforge.pmd.ast.JJTJavaParserState; peekNode[]; net.sourceforge.pmd.ast.Node; null; nodes>
<java.util.List; size[]; int; net.sourceforge.pmd.ast.JJTJavaParserState; peekNode[]; net.sourceforge.pmd.ast.Node; null; nodes>
<net.sourceforge.pmd.ast.JJTJavaParserState; popNode[]; net.sourceforge.pmd.ast.Node; net.sourceforge.pmd.ast.JJTJavaParserState; clearNodeScope[net.sourceforge.pmd.ast.Node]; void; null; this>
<java.util.List; remove[int]; java.lang.Integer; net.sourceforge.pmd.ast.JJTJavaParserState; clearNodeScope[net.sourceforge.pmd.ast.Node]; void; null; marks>
<java.util.List; size[]; int; net.sourceforge.pmd.ast.JJTJavaParserState; clearNodeScope[net.sourceforge.pmd.ast.Node]; void; null; marks>
<java.util.List; add[java.lang.Integer]; boolean; net.sourceforge.pmd.ast.JJTJavaParserState; openNodeScope[net.sourceforge.pmd.ast.Node]; void; null; marks>
<net.sourceforge.pmd.ast.Node; jjtOpen[]; void; net.sourceforge.pmd.ast.JJTJavaParserState; openNodeScope[net.sourceforge.pmd.ast.Node]; void; null; n>
<java.util.List; remove[int]; java.lang.Integer; net.sourceforge.pmd.ast.JJTJavaParserState; closeNodeScope[net.sourceforge.pmd.ast.Node, int]; void; null; marks>
<java.util.List; size[]; int; net.sourceforge.pmd.ast.JJTJavaParserState; closeNodeScope[net.sourceforge.pmd.ast.Node, int]; void; null; marks>
<net.sourceforge.pmd.ast.JJTJavaParserState; popNode[]; net.sourceforge.pmd.ast.Node; net.sourceforge.pmd.ast.JJTJavaParserState; closeNodeScope[net.sourceforge.pmd.ast.Node, int]; void; null; this>
<net.sourceforge.pmd.ast.Node; jjtSetParent[net.sourceforge.pmd.ast.Node]; void; net.sourceforge.pmd.ast.JJTJavaParserState; closeNodeScope[net.sourceforge.pmd.ast.Node, int]; void; null; c>
<net.sourceforge.pmd.ast.Node; jjtAddChild[net.sourceforge.pmd.ast.Node, int]; void; net.sourceforge.pmd.ast.JJTJavaParserState; closeNodeScope[net.sourceforge.pmd.ast.Node, int]; void; null; n>
<net.sourceforge.pmd.ast.Node; jjtClose[]; void; net.sourceforge.pmd.ast.JJTJavaParserState; closeNodeScope[net.sourceforge.pmd.ast.Node, int]; void; null; n>
<net.sourceforge.pmd.ast.JJTJavaParserState; pushNode[net.sourceforge.pmd.ast.Node]; void; net.sourceforge.pmd.ast.JJTJavaParserState; closeNodeScope[net.sourceforge.pmd.ast.Node, int]; void; null; this>
<net.sourceforge.pmd.ast.JJTJavaParserState; nodeArity[]; int; net.sourceforge.pmd.ast.JJTJavaParserState; closeNodeScope[net.sourceforge.pmd.ast.Node, boolean]; void; null; this>
<java.util.List; remove[int]; java.lang.Integer; net.sourceforge.pmd.ast.JJTJavaParserState; closeNodeScope[net.sourceforge.pmd.ast.Node, boolean]; void; null; marks>
<java.util.List; size[]; int; net.sourceforge.pmd.ast.JJTJavaParserState; closeNodeScope[net.sourceforge.pmd.ast.Node, boolean]; void; null; marks>
<net.sourceforge.pmd.ast.JJTJavaParserState; popNode[]; net.sourceforge.pmd.ast.Node; net.sourceforge.pmd.ast.JJTJavaParserState; closeNodeScope[net.sourceforge.pmd.ast.Node, boolean]; void; null; this>
<net.sourceforge.pmd.ast.Node; jjtSetParent[net.sourceforge.pmd.ast.Node]; void; net.sourceforge.pmd.ast.JJTJavaParserState; closeNodeScope[net.sourceforge.pmd.ast.Node, boolean]; void; null; c>
<net.sourceforge.pmd.ast.Node; jjtAddChild[net.sourceforge.pmd.ast.Node, int]; void; net.sourceforge.pmd.ast.JJTJavaParserState; closeNodeScope[net.sourceforge.pmd.ast.Node, boolean]; void; null; n>
<net.sourceforge.pmd.ast.Node; jjtClose[]; void; net.sourceforge.pmd.ast.JJTJavaParserState; closeNodeScope[net.sourceforge.pmd.ast.Node, boolean]; void; null; n>
<net.sourceforge.pmd.ast.JJTJavaParserState; pushNode[net.sourceforge.pmd.ast.Node]; void; net.sourceforge.pmd.ast.JJTJavaParserState; closeNodeScope[net.sourceforge.pmd.ast.Node, boolean]; void; null; this>
<java.util.List; remove[int]; java.lang.Integer; net.sourceforge.pmd.ast.JJTJavaParserState; closeNodeScope[net.sourceforge.pmd.ast.Node, boolean]; void; null; marks>
<java.util.List; size[]; int; net.sourceforge.pmd.ast.JJTJavaParserState; closeNodeScope[net.sourceforge.pmd.ast.Node, boolean]; void; null; marks>
<net.sourceforge.pmd.ast.SimpleJavaAccessNode; isModifier[int]; boolean; net.sourceforge.pmd.ast.SimpleJavaAccessNode; isPublic[]; boolean; null; this>
<net.sourceforge.pmd.ast.SimpleJavaAccessNode; setPublic[boolean]; void; net.sourceforge.pmd.ast.SimpleJavaAccessNode; setPublic[]; void; null; this>
<net.sourceforge.pmd.ast.SimpleJavaAccessNode; setModifier[boolean, int]; void; net.sourceforge.pmd.ast.SimpleJavaAccessNode; setPublic[boolean]; void; null; this>
<net.sourceforge.pmd.ast.SimpleJavaAccessNode; isModifier[int]; boolean; net.sourceforge.pmd.ast.SimpleJavaAccessNode; isProtected[]; boolean; null; this>
<net.sourceforge.pmd.ast.SimpleJavaAccessNode; setProtected[boolean]; void; net.sourceforge.pmd.ast.SimpleJavaAccessNode; setProtected[]; void; null; this>
<net.sourceforge.pmd.ast.SimpleJavaAccessNode; setModifier[boolean, int]; void; net.sourceforge.pmd.ast.SimpleJavaAccessNode; setProtected[boolean]; void; null; this>
<net.sourceforge.pmd.ast.SimpleJavaAccessNode; isModifier[int]; boolean; net.sourceforge.pmd.ast.SimpleJavaAccessNode; isPrivate[]; boolean; null; this>
<net.sourceforge.pmd.ast.SimpleJavaAccessNode; setPrivate[boolean]; void; net.sourceforge.pmd.ast.SimpleJavaAccessNode; setPrivate[]; void; null; this>
<net.sourceforge.pmd.ast.SimpleJavaAccessNode; setModifier[boolean, int]; void; net.sourceforge.pmd.ast.SimpleJavaAccessNode; setPrivate[boolean]; void; null; this>
<net.sourceforge.pmd.ast.SimpleJavaAccessNode; isModifier[int]; boolean; net.sourceforge.pmd.ast.SimpleJavaAccessNode; isAbstract[]; boolean; null; this>
<net.sourceforge.pmd.ast.SimpleJavaAccessNode; setAbstract[boolean]; void; net.sourceforge.pmd.ast.SimpleJavaAccessNode; setAbstract[]; void; null; this>
<net.sourceforge.pmd.ast.SimpleJavaAccessNode; setModifier[boolean, int]; void; net.sourceforge.pmd.ast.SimpleJavaAccessNode; setAbstract[boolean]; void; null; this>
<net.sourceforge.pmd.ast.SimpleJavaAccessNode; isModifier[int]; boolean; net.sourceforge.pmd.ast.SimpleJavaAccessNode; isStatic[]; boolean; null; this>
<net.sourceforge.pmd.ast.SimpleJavaAccessNode; setStatic[boolean]; void; net.sourceforge.pmd.ast.SimpleJavaAccessNode; setStatic[]; void; null; this>
<net.sourceforge.pmd.ast.SimpleJavaAccessNode; setModifier[boolean, int]; void; net.sourceforge.pmd.ast.SimpleJavaAccessNode; setStatic[boolean]; void; null; this>
<net.sourceforge.pmd.ast.SimpleJavaAccessNode; isModifier[int]; boolean; net.sourceforge.pmd.ast.SimpleJavaAccessNode; isFinal[]; boolean; null; this>
<net.sourceforge.pmd.ast.SimpleJavaAccessNode; setFinal[boolean]; void; net.sourceforge.pmd.ast.SimpleJavaAccessNode; setFinal[]; void; null; this>
<net.sourceforge.pmd.ast.SimpleJavaAccessNode; setModifier[boolean, int]; void; net.sourceforge.pmd.ast.SimpleJavaAccessNode; setFinal[boolean]; void; null; this>
<net.sourceforge.pmd.ast.SimpleJavaAccessNode; isModifier[int]; boolean; net.sourceforge.pmd.ast.SimpleJavaAccessNode; isSynchronized[]; boolean; null; this>
<net.sourceforge.pmd.ast.SimpleJavaAccessNode; setSynchronized[boolean]; void; net.sourceforge.pmd.ast.SimpleJavaAccessNode; setSynchronized[]; void; null; this>
<net.sourceforge.pmd.ast.SimpleJavaAccessNode; setModifier[boolean, int]; void; net.sourceforge.pmd.ast.SimpleJavaAccessNode; setSynchronized[boolean]; void; null; this>
<net.sourceforge.pmd.ast.SimpleJavaAccessNode; isModifier[int]; boolean; net.sourceforge.pmd.ast.SimpleJavaAccessNode; isNative[]; boolean; null; this>
<net.sourceforge.pmd.ast.SimpleJavaAccessNode; setNative[boolean]; void; net.sourceforge.pmd.ast.SimpleJavaAccessNode; setNative[]; void; null; this>
<net.sourceforge.pmd.ast.SimpleJavaAccessNode; setModifier[boolean, int]; void; net.sourceforge.pmd.ast.SimpleJavaAccessNode; setNative[boolean]; void; null; this>
<net.sourceforge.pmd.ast.SimpleJavaAccessNode; isModifier[int]; boolean; net.sourceforge.pmd.ast.SimpleJavaAccessNode; isTransient[]; boolean; null; this>
<net.sourceforge.pmd.ast.SimpleJavaAccessNode; setTransient[boolean]; void; net.sourceforge.pmd.ast.SimpleJavaAccessNode; setTransient[]; void; null; this>
<net.sourceforge.pmd.ast.SimpleJavaAccessNode; setModifier[boolean, int]; void; net.sourceforge.pmd.ast.SimpleJavaAccessNode; setTransient[boolean]; void; null; this>
<net.sourceforge.pmd.ast.SimpleJavaAccessNode; isModifier[int]; boolean; net.sourceforge.pmd.ast.SimpleJavaAccessNode; isVolatile[]; boolean; null; this>
<net.sourceforge.pmd.ast.SimpleJavaAccessNode; setVolatile[boolean]; void; net.sourceforge.pmd.ast.SimpleJavaAccessNode; setVolatile[]; void; null; this>
<net.sourceforge.pmd.ast.SimpleJavaAccessNode; setModifier[boolean, int]; void; net.sourceforge.pmd.ast.SimpleJavaAccessNode; setVolatile[boolean]; void; null; this>
<net.sourceforge.pmd.ast.SimpleJavaAccessNode; isModifier[int]; boolean; net.sourceforge.pmd.ast.SimpleJavaAccessNode; isStrictfp[]; boolean; null; this>
<net.sourceforge.pmd.ast.SimpleJavaAccessNode; setStrictfp[boolean]; void; net.sourceforge.pmd.ast.SimpleJavaAccessNode; setStrictfp[]; void; null; this>
<net.sourceforge.pmd.ast.SimpleJavaAccessNode; setModifier[boolean, int]; void; net.sourceforge.pmd.ast.SimpleJavaAccessNode; setStrictfp[boolean]; void; null; this>
<net.sourceforge.pmd.ast.SimpleJavaAccessNode; isPrivate[]; boolean; net.sourceforge.pmd.ast.SimpleJavaAccessNode; isPackagePrivate[]; boolean; null; this>
<net.sourceforge.pmd.ast.SimpleJavaAccessNode; isPublic[]; boolean; net.sourceforge.pmd.ast.SimpleJavaAccessNode; isPackagePrivate[]; boolean; null; this>
<net.sourceforge.pmd.ast.SimpleJavaAccessNode; isProtected[]; boolean; net.sourceforge.pmd.ast.SimpleJavaAccessNode; isPackagePrivate[]; boolean; null; this>
<net.sourceforge.pmd.ast.SimpleNode; toString[java.lang.String]; java.lang.String; net.sourceforge.pmd.ast.SimpleJavaAccessNode; collectDumpedModifiers[java.lang.String]; java.lang.String; null; this>
<net.sourceforge.pmd.ast.SimpleJavaAccessNode; isPackagePrivate[]; boolean; net.sourceforge.pmd.ast.SimpleJavaAccessNode; collectDumpedModifiers[java.lang.String]; java.lang.String; null; this>
<net.sourceforge.pmd.ast.SimpleJavaAccessNode; isPrivate[]; boolean; net.sourceforge.pmd.ast.SimpleJavaAccessNode; collectDumpedModifiers[java.lang.String]; java.lang.String; null; this>
<net.sourceforge.pmd.ast.SimpleJavaAccessNode; isPublic[]; boolean; net.sourceforge.pmd.ast.SimpleJavaAccessNode; collectDumpedModifiers[java.lang.String]; java.lang.String; null; this>
<net.sourceforge.pmd.ast.SimpleJavaAccessNode; isProtected[]; boolean; net.sourceforge.pmd.ast.SimpleJavaAccessNode; collectDumpedModifiers[java.lang.String]; java.lang.String; null; this>
<net.sourceforge.pmd.ast.SimpleJavaAccessNode; isAbstract[]; boolean; net.sourceforge.pmd.ast.SimpleJavaAccessNode; collectDumpedModifiers[java.lang.String]; java.lang.String; null; this>
<net.sourceforge.pmd.ast.SimpleJavaAccessNode; isStatic[]; boolean; net.sourceforge.pmd.ast.SimpleJavaAccessNode; collectDumpedModifiers[java.lang.String]; java.lang.String; null; this>
