All Method Calls (17933)

<java.awt.event.ActionEvent; getActionCommand[]; java.lang.String; org.jext.actions.CreateTemplate; actionPerformed[java.awt.event.ActionEvent]; void; null; evt>
<java.lang.String; endsWith[java.lang.String]; boolean; org.jext.actions.WordCount; doWordCount[java.lang.String]; void; null; buf>
<java.lang.String; startsWith[java.lang.String]; boolean; org.jext.actions.WordCount; doWordCount[java.lang.String]; void; null; buf>
<java.lang.String; startsWith[java.lang.String]; boolean; org.jext.actions.WordCount; doWordCount[java.lang.String]; void; null; buf>
<java.lang.String; equals[java.lang.Object]; boolean; org.jext.actions.WordCount; doWordCount[java.lang.String]; void; null; buf>
<java.lang.String; endsWith[java.lang.String]; boolean; org.jext.actions.WordCount; doWordCount[java.lang.String]; void; null; buf>
<java.lang.String; length[]; int; org.jext.actions.WordCount; doWordCount[java.lang.String]; void; null; text>
<java.lang.String; charAt[int]; char; org.jext.actions.WordCount; doWordCount[java.lang.String]; void; null; text>
<org.jext.MenuAction; getTextArea[java.util.EventObject]; org.jext.JextTextArea; org.jext.actions.RemoveWhitespace; actionPerformed[java.awt.event.ActionEvent]; void; null; this>
<org.jext.JextTextArea; beginCompoundEdit[]; void; org.jext.actions.RemoveWhitespace; actionPerformed[java.awt.event.ActionEvent]; void; null; textArea>
<org.gjt.sp.jedit.textarea.JEditTextArea; getDocument[]; org.gjt.sp.jedit.syntax.SyntaxDocument; org.jext.actions.RemoveWhitespace; actionPerformed[java.awt.event.ActionEvent]; void; null; textArea>
<javax.swing.text.Document; getDefaultRootElement[]; javax.swing.text.Element; org.jext.actions.RemoveWhitespace; actionPerformed[java.awt.event.ActionEvent]; void; null; doc>
<javax.swing.text.Element; getElementCount[]; int; org.jext.actions.RemoveWhitespace; actionPerformed[java.awt.event.ActionEvent]; void; null; map>
<javax.swing.text.Element; getElement[int]; javax.swing.text.Element; org.jext.actions.RemoveWhitespace; actionPerformed[java.awt.event.ActionEvent]; void; null; map>
<javax.swing.text.Element; getStartOffset[]; int; org.jext.actions.RemoveWhitespace; actionPerformed[java.awt.event.ActionEvent]; void; null; lineElement>
<javax.swing.text.Element; getEndOffset[]; int; org.jext.actions.RemoveWhitespace; actionPerformed[java.awt.event.ActionEvent]; void; null; lineElement>
<org.jext.actions.RemoveWhitespace; doRemove[java.lang.String]; java.lang.String; org.jext.actions.RemoveWhitespace; actionPerformed[java.awt.event.ActionEvent]; void; null; this>
<org.gjt.sp.jedit.textarea.JEditTextArea; getText[int, int]; java.lang.String; org.jext.actions.RemoveWhitespace; actionPerformed[java.awt.event.ActionEvent]; void; null; textArea>
<javax.swing.text.Document; remove[int, int]; void; org.jext.actions.RemoveWhitespace; actionPerformed[java.awt.event.ActionEvent]; void; null; doc>
<javax.swing.text.Document; insertString[int, java.lang.String, javax.swing.text.AttributeSet]; void; org.jext.actions.RemoveWhitespace; actionPerformed[java.awt.event.ActionEvent]; void; null; doc>
<org.jext.JextTextArea; endCompoundEdit[]; void; org.jext.actions.RemoveWhitespace; actionPerformed[java.awt.event.ActionEvent]; void; null; textArea>
<java.lang.String; length[]; int; org.jext.actions.RemoveWhitespace; doRemove[java.lang.String]; java.lang.String; null; in>
<java.lang.Character; isWhitespace[char]; boolean; org.jext.actions.RemoveWhitespace; doRemove[java.lang.String]; java.lang.String; null; Character>
<java.lang.String; charAt[int]; char; org.jext.actions.RemoveWhitespace; doRemove[java.lang.String]; java.lang.String; null; in>
<java.lang.String; substring[int, int]; java.lang.String; org.jext.actions.RemoveWhitespace; doRemove[java.lang.String]; java.lang.String; null; in>
<org.jext.MenuAction; getTextArea[java.util.EventObject]; org.jext.JextTextArea; org.jext.actions.BoxComment; actionPerformed[java.awt.event.ActionEvent]; void; null; this>
<org.gjt.sp.jedit.textarea.JEditTextArea; getDocument[]; org.gjt.sp.jedit.syntax.SyntaxDocument; org.jext.actions.BoxComment; actionPerformed[java.awt.event.ActionEvent]; void; null; textArea>
<org.jext.JextTextArea; getProperty[java.lang.String]; java.lang.String; org.jext.actions.BoxComment; actionPerformed[java.awt.event.ActionEvent]; void; null; textArea>
<org.jext.JextTextArea; getProperty[java.lang.String]; java.lang.String; org.jext.actions.BoxComment; actionPerformed[java.awt.event.ActionEvent]; void; null; textArea>
<org.jext.JextTextArea; getProperty[java.lang.String]; java.lang.String; org.jext.actions.BoxComment; actionPerformed[java.awt.event.ActionEvent]; void; null; textArea>
<org.gjt.sp.jedit.textarea.JEditTextArea; getSelectionStart[]; int; org.jext.actions.BoxComment; actionPerformed[java.awt.event.ActionEvent]; void; null; textArea>
<org.gjt.sp.jedit.textarea.JEditTextArea; getSelectionEnd[]; int; org.jext.actions.BoxComment; actionPerformed[java.awt.event.ActionEvent]; void; null; textArea>
<javax.swing.text.Document; getDefaultRootElement[]; javax.swing.text.Element; org.jext.actions.BoxComment; actionPerformed[java.awt.event.ActionEvent]; void; null; doc>
<javax.swing.text.Element; getElementIndex[int]; int; org.jext.actions.BoxComment; actionPerformed[java.awt.event.ActionEvent]; void; null; map>
<javax.swing.text.Element; getElementIndex[int]; int; org.jext.actions.BoxComment; actionPerformed[java.awt.event.ActionEvent]; void; null; map>
<org.jext.JextTextArea; beginCompoundEdit[]; void; org.jext.actions.BoxComment; actionPerformed[java.awt.event.ActionEvent]; void; null; textArea>
<javax.swing.text.Element; getElement[int]; javax.swing.text.Element; org.jext.actions.BoxComment; actionPerformed[java.awt.event.ActionEvent]; void; null; map>
<javax.swing.text.Element; getStartOffset[]; int; org.jext.actions.BoxComment; actionPerformed[java.awt.event.ActionEvent]; void; null; lineElement>
<org.jext.Utilities; getLeadingWhiteSpace[java.lang.String]; int; org.jext.actions.BoxComment; actionPerformed[java.awt.event.ActionEvent]; void; null; Utilities>
<javax.swing.text.Document; getText[int, int]; java.lang.String; org.jext.actions.BoxComment; actionPerformed[java.awt.event.ActionEvent]; void; null; doc>
<javax.swing.text.Element; getEndOffset[]; int; org.jext.actions.BoxComment; actionPerformed[java.awt.event.ActionEvent]; void; null; lineElement>
<javax.swing.text.Document; insertString[int, java.lang.String, javax.swing.text.AttributeSet]; void; org.jext.actions.BoxComment; actionPerformed[java.awt.event.ActionEvent]; void; null; doc>
<java.lang.Math; max[int, int]; int; org.jext.actions.BoxComment; actionPerformed[java.awt.event.ActionEvent]; void; null; Math>
<javax.swing.text.Element; getElement[int]; javax.swing.text.Element; org.jext.actions.BoxComment; actionPerformed[java.awt.event.ActionEvent]; void; null; map>
<javax.swing.text.Element; getStartOffset[]; int; org.jext.actions.BoxComment; actionPerformed[java.awt.event.ActionEvent]; void; null; lineElement>
<org.jext.Utilities; getLeadingWhiteSpace[java.lang.String]; int; org.jext.actions.BoxComment; actionPerformed[java.awt.event.ActionEvent]; void; null; Utilities>
<javax.swing.text.Document; getText[int, int]; java.lang.String; org.jext.actions.BoxComment; actionPerformed[java.awt.event.ActionEvent]; void; null; doc>
<javax.swing.text.Element; getEndOffset[]; int; org.jext.actions.BoxComment; actionPerformed[java.awt.event.ActionEvent]; void; null; lineElement>
<javax.swing.text.Document; insertString[int, java.lang.String, javax.swing.text.AttributeSet]; void; org.jext.actions.BoxComment; actionPerformed[java.awt.event.ActionEvent]; void; null; doc>
<javax.swing.text.Element; getElement[int]; javax.swing.text.Element; org.jext.actions.BoxComment; actionPerformed[java.awt.event.ActionEvent]; void; null; map>
<javax.swing.text.Element; getStartOffset[]; int; org.jext.actions.BoxComment; actionPerformed[java.awt.event.ActionEvent]; void; null; lineElement>
<org.jext.Utilities; getLeadingWhiteSpace[java.lang.String]; int; org.jext.actions.BoxComment; actionPerformed[java.awt.event.ActionEvent]; void; null; Utilities>
<javax.swing.text.Document; getText[int, int]; java.lang.String; org.jext.actions.BoxComment; actionPerformed[java.awt.event.ActionEvent]; void; null; doc>
<javax.swing.text.Element; getEndOffset[]; int; org.jext.actions.BoxComment; actionPerformed[java.awt.event.ActionEvent]; void; null; lineElement>
<javax.swing.text.Document; insertString[int, java.lang.String, javax.swing.text.AttributeSet]; void; org.jext.actions.BoxComment; actionPerformed[java.awt.event.ActionEvent]; void; null; doc>
<javax.swing.text.Document; insertString[int, java.lang.String, javax.swing.text.AttributeSet]; void; org.jext.actions.BoxComment; actionPerformed[java.awt.event.ActionEvent]; void; null; doc>
<java.lang.Math; max[int, int]; int; org.jext.actions.BoxComment; actionPerformed[java.awt.event.ActionEvent]; void; null; Math>
<org.gjt.sp.jedit.textarea.JEditTextArea; getSelectionEnd[]; int; org.jext.actions.BoxComment; actionPerformed[java.awt.event.ActionEvent]; void; null; textArea>
<org.gjt.sp.jedit.textarea.JEditTextArea; setCaretPosition[int]; void; org.jext.actions.BoxComment; actionPerformed[java.awt.event.ActionEvent]; void; null; textArea>
<org.gjt.sp.jedit.textarea.JEditTextArea; getCaretPosition[]; int; org.jext.actions.BoxComment; actionPerformed[java.awt.event.ActionEvent]; void; null; textArea>
<org.jext.JextTextArea; endCompoundEdit[]; void; org.jext.actions.BoxComment; actionPerformed[java.awt.event.ActionEvent]; void; null; textArea>
<org.jext.MenuAction; getTextArea[java.util.EventObject]; org.jext.JextTextArea; org.jext.actions.WingComment; actionPerformed[java.awt.event.ActionEvent]; void; null; this>
<org.jext.JextTextArea; beginCompoundEdit[]; void; org.jext.actions.WingComment; actionPerformed[java.awt.event.ActionEvent]; void; null; textArea>
<org.jext.JextTextArea; getProperty[java.lang.String]; java.lang.String; org.jext.actions.WingComment; actionPerformed[java.awt.event.ActionEvent]; void; null; textArea>
<org.jext.JextTextArea; getProperty[java.lang.String]; java.lang.String; org.jext.actions.WingComment; actionPerformed[java.awt.event.ActionEvent]; void; null; textArea>
<javax.swing.text.PlainDocument; insertString[int, java.lang.String, javax.swing.text.AttributeSet]; void; org.jext.actions.WingComment; actionPerformed[java.awt.event.ActionEvent]; void; null; textArea.getDocument()>
<org.gjt.sp.jedit.textarea.JEditTextArea; getDocument[]; org.gjt.sp.jedit.syntax.SyntaxDocument; org.jext.actions.WingComment; actionPerformed[java.awt.event.ActionEvent]; void; insertString[int, java.lang.String, javax.swing.text.AttributeSet]; textArea>
<org.gjt.sp.jedit.textarea.JEditTextArea; getSelectionStart[]; int; org.jext.actions.WingComment; actionPerformed[java.awt.event.ActionEvent]; void; null; textArea>
<javax.swing.text.PlainDocument; insertString[int, java.lang.String, javax.swing.text.AttributeSet]; void; org.jext.actions.WingComment; actionPerformed[java.awt.event.ActionEvent]; void; null; textArea.getDocument()>
<org.gjt.sp.jedit.textarea.JEditTextArea; getDocument[]; org.gjt.sp.jedit.syntax.SyntaxDocument; org.jext.actions.WingComment; actionPerformed[java.awt.event.ActionEvent]; void; insertString[int, java.lang.String, javax.swing.text.AttributeSet]; textArea>
<org.gjt.sp.jedit.textarea.JEditTextArea; getSelectionEnd[]; int; org.jext.actions.WingComment; actionPerformed[java.awt.event.ActionEvent]; void; null; textArea>
<org.gjt.sp.jedit.textarea.JEditTextArea; setCaretPosition[int]; void; org.jext.actions.WingComment; actionPerformed[java.awt.event.ActionEvent]; void; null; textArea>
<org.gjt.sp.jedit.textarea.JEditTextArea; getCaretPosition[]; int; org.jext.actions.WingComment; actionPerformed[java.awt.event.ActionEvent]; void; null; textArea>
<org.jext.JextTextArea; endCompoundEdit[]; void; org.jext.actions.WingComment; actionPerformed[java.awt.event.ActionEvent]; void; null; textArea>
<org.jext.MenuAction; getTextArea[java.util.EventObject]; org.jext.JextTextArea; org.jext.actions.TabsToSpaces; actionPerformed[java.awt.event.ActionEvent]; void; null; this>
<org.jext.JextTextArea; beginCompoundEdit[]; void; org.jext.actions.TabsToSpaces; actionPerformed[java.awt.event.ActionEvent]; void; null; textArea>
<org.gjt.sp.jedit.textarea.JEditTextArea; getDocument[]; org.gjt.sp.jedit.syntax.SyntaxDocument; org.jext.actions.TabsToSpaces; actionPerformed[java.awt.event.ActionEvent]; void; null; textArea>
<javax.swing.text.Document; getDefaultRootElement[]; javax.swing.text.Element; org.jext.actions.TabsToSpaces; actionPerformed[java.awt.event.ActionEvent]; void; null; doc>
<javax.swing.text.Element; getElementCount[]; int; org.jext.actions.TabsToSpaces; actionPerformed[java.awt.event.ActionEvent]; void; null; map>
<javax.swing.text.Element; getElement[int]; javax.swing.text.Element; org.jext.actions.TabsToSpaces; actionPerformed[java.awt.event.ActionEvent]; void; null; map>
<javax.swing.text.Element; getStartOffset[]; int; org.jext.actions.TabsToSpaces; actionPerformed[java.awt.event.ActionEvent]; void; null; lineElement>
<javax.swing.text.Element; getEndOffset[]; int; org.jext.actions.TabsToSpaces; actionPerformed[java.awt.event.ActionEvent]; void; null; lineElement>
<org.jext.JextTextArea; getTabSize[]; int; org.jext.actions.TabsToSpaces; actionPerformed[java.awt.event.ActionEvent]; void; null; textArea>
<org.jext.actions.TabsToSpaces; doTabsToSpaces[java.lang.String, int]; java.lang.String; org.jext.actions.TabsToSpaces; actionPerformed[java.awt.event.ActionEvent]; void; null; this>
<org.gjt.sp.jedit.textarea.JEditTextArea; getText[int, int]; java.lang.String; org.jext.actions.TabsToSpaces; actionPerformed[java.awt.event.ActionEvent]; void; null; textArea>
<javax.swing.text.Document; remove[int, int]; void; org.jext.actions.TabsToSpaces; actionPerformed[java.awt.event.ActionEvent]; void; null; doc>
<javax.swing.text.Document; insertString[int, java.lang.String, javax.swing.text.AttributeSet]; void; org.jext.actions.TabsToSpaces; actionPerformed[java.awt.event.ActionEvent]; void; null; doc>
<org.jext.JextTextArea; endCompoundEdit[]; void; org.jext.actions.TabsToSpaces; actionPerformed[java.awt.event.ActionEvent]; void; null; textArea>
<java.lang.String; length[]; int; org.jext.actions.TabsToSpaces; doTabsToSpaces[java.lang.String, int]; java.lang.String; null; in>
<java.lang.String; charAt[int]; char; org.jext.actions.TabsToSpaces; doTabsToSpaces[java.lang.String, int]; java.lang.String; null; in>
<java.lang.StringBuffer; append[char]; java.lang.StringBuffer; org.jext.actions.TabsToSpaces; doTabsToSpaces[java.lang.String, int]; java.lang.String; null; buf>
<java.lang.StringBuffer; append[char]; java.lang.StringBuffer; org.jext.actions.TabsToSpaces; doTabsToSpaces[java.lang.String, int]; java.lang.String; null; buf>
<java.lang.String; charAt[int]; char; org.jext.actions.TabsToSpaces; doTabsToSpaces[java.lang.String, int]; java.lang.String; null; in>
<java.lang.StringBuffer; append[char]; java.lang.StringBuffer; org.jext.actions.TabsToSpaces; doTabsToSpaces[java.lang.String, int]; java.lang.String; null; buf>
<java.lang.String; charAt[int]; char; org.jext.actions.TabsToSpaces; doTabsToSpaces[java.lang.String, int]; java.lang.String; null; in>
<java.lang.StringBuffer; toString[]; java.lang.String; org.jext.actions.TabsToSpaces; doTabsToSpaces[java.lang.String, int]; java.lang.String; null; buf>
<org.jext.MenuAction; getTextArea[java.util.EventObject]; org.jext.JextTextArea; org.jext.actions.SpacesToTabs; actionPerformed[java.awt.event.ActionEvent]; void; null; this>
<org.jext.JextTextArea; beginCompoundEdit[]; void; org.jext.actions.SpacesToTabs; actionPerformed[java.awt.event.ActionEvent]; void; null; textArea>
<org.gjt.sp.jedit.textarea.JEditTextArea; getDocument[]; org.gjt.sp.jedit.syntax.SyntaxDocument; org.jext.actions.SpacesToTabs; actionPerformed[java.awt.event.ActionEvent]; void; null; textArea>
<javax.swing.text.Document; getDefaultRootElement[]; javax.swing.text.Element; org.jext.actions.SpacesToTabs; actionPerformed[java.awt.event.ActionEvent]; void; null; doc>
<javax.swing.text.Element; getElementCount[]; int; org.jext.actions.SpacesToTabs; actionPerformed[java.awt.event.ActionEvent]; void; null; map>
<javax.swing.text.Element; getElement[int]; javax.swing.text.Element; org.jext.actions.SpacesToTabs; actionPerformed[java.awt.event.ActionEvent]; void; null; map>
<javax.swing.text.Element; getStartOffset[]; int; org.jext.actions.SpacesToTabs; actionPerformed[java.awt.event.ActionEvent]; void; null; lineElement>
<javax.swing.text.Element; getEndOffset[]; int; org.jext.actions.SpacesToTabs; actionPerformed[java.awt.event.ActionEvent]; void; null; lineElement>
<org.jext.actions.SpacesToTabs; doSpacesToTabs[java.lang.String, int]; java.lang.String; org.jext.actions.SpacesToTabs; actionPerformed[java.awt.event.ActionEvent]; void; null; this>
<org.gjt.sp.jedit.textarea.JEditTextArea; getText[int, int]; java.lang.String; org.jext.actions.SpacesToTabs; actionPerformed[java.awt.event.ActionEvent]; void; null; textArea>
<org.jext.JextTextArea; getTabSize[]; int; org.jext.actions.SpacesToTabs; actionPerformed[java.awt.event.ActionEvent]; void; null; textArea>
<javax.swing.text.Document; remove[int, int]; void; org.jext.actions.SpacesToTabs; actionPerformed[java.awt.event.ActionEvent]; void; null; doc>
<javax.swing.text.Document; insertString[int, java.lang.String, javax.swing.text.AttributeSet]; void; org.jext.actions.SpacesToTabs; actionPerformed[java.awt.event.ActionEvent]; void; null; doc>
<org.jext.JextTextArea; endCompoundEdit[]; void; org.jext.actions.SpacesToTabs; actionPerformed[java.awt.event.ActionEvent]; void; null; textArea>
<java.lang.String; length[]; int; org.jext.actions.SpacesToTabs; doSpacesToTabs[java.lang.String, int]; java.lang.String; null; in>
<java.lang.String; charAt[int]; char; org.jext.actions.SpacesToTabs; doSpacesToTabs[java.lang.String, int]; java.lang.String; null; in>
<java.lang.StringBuffer; append[char]; java.lang.StringBuffer; org.jext.actions.SpacesToTabs; doSpacesToTabs[java.lang.String, int]; java.lang.String; null; buf>
